Sample no,fc (MPa),fy (MPa),Beam Area (m2),Col Area (m2),Bay Width X (m),Bay Width Y (m),Bay Width Z (m),No of bay X,No of bay Y,No of bay Z,Area (m2)
198,20,415,0.07475,0.0529,4.5,2.6,2.75,3,2,2,70.2
199,20,415,0.07475,0.0529,4.5,2.6,3,3,2,2,70.2
200,20,415,0.07475,0.0529,4.5,2.6,3.2,3,2,2,70.2
201,20,415,0.07475,0.0529,4.5,3.6,2.75,3,2,2,97.2
202,20,415,0.07475,0.0529,4.5,3.6,3,3,2,2,97.2
203,20,415,0.07475,0.0529,4.5,3.6,3.2,3,2,2,97.2
204,20,415,0.07475,0.0529,3.6,3.6,2.75,3,2,2,77.76
205,20,415,0.07475,0.0529,3.6,3.6,3,3,2,2,77.76
206,20,415,0.07475,0.0529,3.6,3.6,3.2,3,2,2,77.76
207,20,415,0.07475,0.0529,3.6,2.6,2.75,3,3,2,84.24
208,20,415,0.07475,0.0529,3.6,2.6,3,3,3,2,84.24
209,20,415,0.07475,0.0529,3.6,2.6,3.2,3,3,2,84.24
210,20,415,0.07475,0.0529,3.6,4.5,2.75,3,2,2,97.2
211,20,415,0.07475,0.0529,3.6,4.5,3,3,2,2,97.2
212,20,415,0.07475,0.0529,3.6,4.5,3.2,3,2,2,97.2
213,20,415,0.07475,0.0529,2.6,4.5,2.75,3,2,2,70.2
214,20,415,0.07475,0.0529,2.6,4.5,3,3,2,2,70.2
215,20,415,0.07475,0.0529,2.6,4.5,3.2,3,2,2,70.2
216,20,415,0.07475,0.0529,2.6,3.6,2.75,3,3,2,84.24
217,20,415,0.07475,0.0529,2.6,3.6,3,3,3,2,84.24
218,20,415,0.07475,0.0529,2.6,3.6,3.2,3,3,2,84.24
219,20,415,0.07475,0.0529,4.5,3.6,2.75,2,2,2,64.8
220,20,415,0.07475,0.0529,4.5,3.6,3,2,2,2,64.8
221,20,415,0.07475,0.0529,4.5,3.6,3.2,2,2,2,64.8
222,20,415,0.07475,0.0529,4.5,4.5,2.75,2,2,2,81
223,20,415,0.07475,0.0529,4.5,4.5,3,2,2,2,81
224,20,415,0.07475,0.0529,4.5,4.5,3.2,2,2,2,81
225,20,415,0.07475,0.0529,3.6,4.5,2.75,2,2,2,64.8
226,20,415,0.07475,0.0529,3.6,4.5,3,2,2,2,64.8
227,20,415,0.07475,0.0529,3.6,4.5,3.2,2,2,2,64.8
228,20,415,0.07475,0.0529,2.6,2.6,2.75,6,2,3,81.12
229,20,415,0.07475,0.0529,2.6,2.6,3,6,2,3,81.12
230,20,415,0.07475,0.0529,2.6,2.6,3.2,6,2,3,81.12
231,20,415,0.07475,0.0529,3.6,2.6,2.75,5,2,3,93.6
232,20,415,0.07475,0.0529,3.6,2.6,3,5,2,3,93.6
233,20,415,0.07475,0.0529,3.6,2.6,3.2,5,2,3,93.6
234,20,415,0.07475,0.0529,2.6,2.6,2.75,5,2,3,67.6
235,20,415,0.07475,0.0529,2.6,2.6,3,5,2,3,67.6
236,20,415,0.07475,0.0529,2.6,2.6,3.2,5,2,3,67.6
237,20,415,0.07475,0.0529,2.6,3.6,2.75,5,2,3,93.6
238,20,415,0.07475,0.0529,2.6,3.6,3,5,2,3,93.6
239,20,415,0.07475,0.0529,2.6,3.6,3.2,5,2,3,93.6
240,20,415,0.07475,0.0529,4.5,2.6,2.75,4,2,3,93.6
241,20,415,0.07475,0.0529,4.5,2.6,3,4,2,3,93.6
