PGA (g),PoE (IO CCP),PoE (IO Experimental),PoE (IO NBC 205 2024),PoE (LS CCP),PoE (LS Experimental),PoE (LS NBC 205 2024),PoE (CP CCP),PoE (CP Experimental),PoE (CP NBC 205 2024)
1.335335335,0.9999988383,0.9999707239,1,0.9996103759,0.8584022258,0.9993497498,0.9598279972,0.5165970864,0.8595599114
1.337337337,0.9999988584,0.9999712098,1,0.999615249,0.8588817112,0.9993631482,0.9600686097,0.5173165158,0.860572079
1.339339339,0.9999988781,0.9999716873,1,0.9996200582,0.8593593797,0.9993762718,0.9603076923,0.5180348128,0.8615777699
1.341341341,0.9999988975,0.9999721566,1,0.9996248046,0.8598352386,0.9993891263,0.9605452551,0.5187519785,0.8625770146
1.343343343,0.9999989165,0.9999726179,1,0.9996294889,0.8603092954,0.999401717,0.9607813083,0.519468014,0.8635698436
1.345345345,0.9999989352,0.9999730713,1,0.9996341119,0.8607815573,0.9994140495,0.9610158618,0.5201829205,0.8645562872
1.347347347,0.9999989536,0.9999735169,1,0.9996386746,0.8612520317,0.9994261288,0.9612489256,0.5208966992,0.8655363759
1.349349349,0.9999989716,0.9999739548,1,0.9996431777,0.8617207259,0.9994379602,0.9614805096,0.5216093513,0.8665101402
1.351351351,0.9999989893,0.9999743853,1,0.9996476221,0.8621876471,0.9994495487,0.9617106235,0.5223208778,0.8674776105
1.353353353,0.9999990067,0.9999748083,1,0.9996520085,0.8626528026,0.9994608992,0.9619392772,0.5230312801,0.8684388173
1.355355355,0.9999990238,0.9999752242,1,0.9996563378,0.8631161996,0.9994720166,0.9621664803,0.5237405592,0.869393791
1.357357357,0.9999990405,0.9999756329,1,0.9996606107,0.8635778453,0.9994829056,0.9623922425,0.5244487163,0.870342562
1.359359359,0.999999057,0.9999760346,1,0.9996648279,0.8640377467,0.9994935708,0.9626165732,0.5251557527,0.8712851609
1.361361361,0.9999990732,0.9999764295,1,0.9996689903,0.8644959111,0.9995040169,0.962839482,0.5258616695,0.8722216179
1.363363363,0.999999089,0.9999768176,1,0.9996730986,0.8649523455,0.9995142483,0.9630609782,0.526566468,0.8731519636
1.365365365,0.9999991046,0.9999771991,1,0.9996771535,0.865407057,0.9995242693,0.9632810714,0.5272701493,0.8740762282
1.367367367,0.9999991199,0.9999775742,1,0.9996811557,0.8658600525,0.9995340843,0.9634997706,0.5279727146,0.8749944421
1.369369369,0.999999135,0.9999779428,1,0.999685106,0.8663113391,0.9995436975,0.9637170853,0.5286741652,0.8759066357
1.371371371,0.9999991498,0.9999783051,1,0.999689005,0.8667609238,0.9995531129,0.9639330245,0.5293745024,0.8768128393
1.373373373,0.9999991643,0.9999786613,1,0.9996928535,0.8672088135,0.9995623346,0.9641475973,0.5300737272,0.8777130832
1.375375375,0.9999991785,0.9999790114,1,0.9996966521,0.867655015,0.9995713666,0.9643608129,0.530771841,0.8786073977
1.377377377,0.9999991925,0.9999793555,1,0.9997004016,0.8680995354,0.9995802127,0.9645726801,0.5314688449,0.8794958129
1.379379379,0.9999992063,0.9999796939,1,0.9997041025,0.8685423814,0.9995888767,0.9647832079,0.5321647403,0.8803783591
1.381381381,0.9999992198,0.9999800264,1,0.9997077556,0.8689835598,0.9995973624,0.9649924053,0.5328595283,0.8812550664
1.383383383,0.999999233,0.9999803534,1,0.9997113614,0.8694230775,0.9996056734,0.9652002809,0.5335532102,0.882125965
1.385385385,0.9999992461,0.9999806747,1,0.9997149206,0.8698609413,0.9996138132,0.9654068435,0.5342457873,0.882991085
1.387387387,0.9999992589,0.9999809907,1,0.9997184339,0.8702971578,0.9996217854,0.9656121019,0.5349372608,0.8838504564
1.389389389,0.9999992714,0.9999813012,1,0.9997219019,0.8707317338,0.9996295934,0.9658160646,0.5356276319,0.8847041092
1.391391391,0.9999992838,0.9999816066,1,0.9997253251,0.871164676,0.9996372405,0.9660187401,0.536316902,0.8855520734
1.393393393,0.9999992959,0.9999819067,1,0.9997287042,0.871595991,0.9996447301,0.9662201372,0.5370050723,0.886394379
1.395395395,0.9999993078,0.9999822018,1,0.9997320398,0.8720256854,0.9996520654,0.966420264,0.5376921441,0.8872310557
1.397397397,0.9999993195,0.9999824919,1,0.9997353324,0.8724537659,0.9996592494,0.9666191292,0.5383781186,0.8880621334
1.399399399,0.999999331,0.9999827771,1,0.9997385827,0.872880239,0.9996662854,0.9668167409,0.5390629971,0.8888876419
1.401401401,0.9999993423,0.9999830575,1,0.9997417911,0.8733051113,0.9996731764,0.9670131075,0.5397467809,0.889707611
1.403403403,0.9999993534,0.9999833331,1,0.9997449583,0.8737283893,0.9996799252,0.9672082373,0.5404294714,0.8905220702
