Sample no,RSN,fc (MPa),fy (MPa),Ab (m2),Ac (m2),Lx (m),Ly (m),Lz (m),Nx,Ny,Nz,Ap (m2),AR,Kfc,ρ,Tm (sec),PGA (g),PGV (cm/sec),PGV/PGA (sec),A RMS (g),V RMS (cm/sec),IA,CAV (cm/sec),Tpred (sec),Dsig (sec),Sa(T1) (g),T1 (s),T2 (s),T3 (s),Final_T1 (s),Final_T2 (s),Final_T3 (s),max_base_shear_kN,MIDR_1st_floor,MIDR_2nd_floor,MIDR_3rd_floor,MIDR_4th_floor,MIDR,Max_Park_Ang_DI_storey,Park_Ang_DI
1,5117,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,0.9413,0.49741,54.25167,0.11118,0.04401,7.91705,7.96699,5235.1299,0.96,49.65,0.85939,0.43404,0.40574,0.38681,0.69895,0.60507,0.5516,587.448,2.53,0.852,0,0,2.53,100,100
1,5259,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,1.2169,0.34798,63.2058,0.18516,0.03675,8.6995,6.2423,4333.44688,1.26,47.14,0.74213,0.43404,0.40574,0.38681,0.69872,0.60192,0.54218,562.67,1.84,0.698,0,0,1.84,73.515,73.515
1,5470,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,0.8953,0.43745,80.26981,0.18705,0.04725,10.14236,8.39287,5262.83169,0.96,55.01,0.86995,0.43404,0.40574,0.38681,0.70271,0.60704,0.55054,568.6,2.041,0.748,0,0,2.041,100,100
1,5665,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,1.4795,0.40191,95.69703,0.24272,0.04227,15.28482,8.26049,5424.87591,0.82,55.1,0.92532,0.43404,0.40574,0.38681,0.69632,0.60283,0.54986,573.645,1.971,0.739,0,0,1.971,96.284,96.284
1,5676,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,1.0868,0.36297,64.30775,0.1806,0.03359,6.70954,3.42428,2456.76874,1.26,20.96,0.73349,0.43404,0.40574,0.38681,0.69546,0.59903,0.5389,556.203,1.471,0.688,0,0,1.471,36.85,36.85
1,5814,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,1.1555,0.43933,77.31974,0.1794,0.05299,17.36752,5.19233,3469.22218,0.44,46.93,1.00515,0.43404,0.40574,0.38681,0.69717,0.60362,0.54986,579.954,2.457,0.779,0,0,2.457,95.816,95.807
2,139,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11,0.99597,0.47532,0.44467,0.42364,0.71083,0.6155,0.56892,513.514,1.464,0.814,0,0,1.464,26.021,26.002
2,334,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.77895,0.47532,0.44467,0.42364,0.7592,0.65361,0.59355,530.686,1.952,0.718,0,0,1.952,100,100
2,410,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.9147,0.47532,0.44467,0.42364,0.73463,0.63471,0.58113,497.796,1.283,0.751,0,0,1.283,18.807,18.807
2,496,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,0.5113,0.54052,34.53304,0.06513,0.09349,8.53915,1.34355,635.35772,0.04,5.5425,0.94856,0.47532,0.44467,0.42364,0.70154,0.60859,0.5659,528.524,1.675,0.819,0,0,1.675,34.68,34.669
2,949,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,0.89205,0.47532,0.44467,0.42364,0.76104,0.65832,0.59938,546.326,2.337,0.976,0,0,2.337,74.575,74.427
2,960,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,0.6213,0.40079,35.57329,0.09048,0.08888,10.69833,2.43195,1118.51994,0.42,7.97,0.89026,0.47532,0.44467,0.42364,0.73837,0.63812,0.58604,526.086,1.686,0.789,0,0,1.686,54.121,54.121
2,962,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,0.6325,0.40818,51.37601,0.1283,0.10843,13.27285,7.243,3140.96484,0.92,29.4,0.89082,0.47532,0.44467,0.42364,0.72515,0.62708,0.58164,549.945,3.034,0.793,0,0,3.034,100,100
2,990,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,0.4473,0.43521,33.62016,0.07875,0.07258,6.82335,3.24617,1693.71221,0.1,14.71,0.89957,0.47532,0.44467,0.42364,0.75893,0.65292,0.59136,498.713,1.383,0.887,0,0,1.383,34.948,34.918
2,998,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,0.5345,0.39747,45.61678,0.11699,0.07765,8.98781,2.78549,1418.06102,0.24,11.33,0.88109,0.47532,0.44467,0.42364,0.76434,0.66318,0.60702,541.011,2.103,0.774,0,0,2.103,53.094,53.094
2,1045,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,1.0312,0.67999,62.38249,0.09352,0.07601,17.70292,2.22366,1180.35554,0.2,11.93,0.90717,0.47532,0.44467,0.42364,0.73176,0.63293,0.58238,544.648,2.248,0.79,0,0,2.248,56.896,56.896
