Sample_no,RSN,fc_(MPa),fy_(MPa),Ab_(m2),Ac_(m2),Lx_(m),Ly_(m),Lz_(m),Nx,Ny,Nz,Ap_(m2),AR,Kfc,ρ,Tm_(sec),PGA_(g),PGV_(cm/sec),PGV/PGA_(sec),A_RMS_(g),V_RMS_(cm/sec),IA,CAV_(cm/sec),Tpred_(sec),Dsig_(sec),Sa(T1)_(g),T1_(s),T2_(s),T3_(s),Final_T1 (s),Final_T2 (s),Final_T3 (s),max_base_shear_kN,MIDR_1st_floor,MIDR_2nd_floor,MIDR_3rd_floor,MIDR_4th_floor,MIDR,Max_Park_Ang_DI_storey,Park_Ang_DI
1,990,20,500,0.08165,0.1024,3,3,2.9,3,2,2,54,1.5,1.44,0.0201258,0.4473,0.43521,33.62016,0.07875,0.07258,6.82335,3.24617,1693.71221,0.1,14.71,0.8737,0.2549,0.24853,0.22143,0.38922,0.30069,0.29237,620.15,0.505,0.43,0,0,0.505,0,0
1,998,20,500,0.08165,0.1024,3,3,2.9,3,2,2,54,1.5,1.44,0.0201258,0.5345,0.39747,45.61678,0.11699,0.07765,8.98781,2.78549,1418.06102,0.24,11.33,0.89594,0.2549,0.24853,0.22143,0.37445,0.29223,0.2867,592.312,0.483,0.42,0,0,0.483,0,0
1,1045,20,500,0.08165,0.1024,3,3,2.9,3,2,2,54,1.5,1.44,0.0201258,1.0312,0.67999,62.38249,0.09352,0.07601,17.70292,2.22366,1180.35554,0.2,11.93,0.90905,0.2549,0.24853,0.22143,0.37382,0.29297,0.28849,547,0.432,0.38,0,0,0.432,0,0
1,1052,20,500,0.08165,0.1024,3,3,2.9,3,2,2,54,1.5,1.44,0.0201258,0.5182,0.41381,50.58513,0.12461,0.05943,6.64182,2.17624,1281.62753,0.16,11.14,0.86672,0.2549,0.24853,0.22143,0.37482,0.29265,0.28762,549.372,0.43,0.366,0,0,0.43,0,0
1,2476,20,500,0.08165,0.1024,3,3,2.9,3,2,2,54,1.5,1.44,0.0201258,1.546,0.36627,70.20761,0.19539,0.0551,16.95212,4.11719,2750.56367,1.7,39.07,0.66473,0.2549,0.24853,0.22143,0.35223,0.28055,0.27978,436.886,0.304,0.277,0,0,0.304,0,0
1,2510,20,500,0.08165,0.1024,3,3,2.9,3,2,2,54,1.5,1.44,0.0201258,1.429,0.33066,81.03706,0.24983,0.07696,21.19063,8.21312,4268.57423,1.94,41.028,0.56614,0.2549,0.24853,0.22143,0.35823,0.28349,0.28237,480.357,0.359,0.315,0,0,0.359,0,0
1,2990,20,500,0.08165,0.1024,3,3,2.9,3,2,2,54,1.5,1.44,0.0201258,0.8415,0.494,56.16258,0.11589,0.06181,11.00453,6.76926,3686.52318,0.68,35.564,0.87462,0.2549,0.24853,0.22143,0.38866,0.30019,0.29193,625.377,0.517,0.43,0,0,0.517,0,0
1,3282,20,500,0.08165,0.1024,3,3,2.9,3,2,2,54,1.5,1.44,0.0201258,1.1888,0.32222,68.54745,0.21686,0.05707,12.07112,4.86884,2558.18179,1.48,21.616,0.59858,0.2549,0.24853,0.22143,0.35041,0.27975,0.27875,428.717,0.304,0.261,0,0,0.304,0,0
1,3285,20,500,0.08165,0.1024,3,3,2.9,3,2,2,54,1.5,1.44,0.0201258,1.0634,0.55373,69.09332,0.12719,0.07868,17.22096,8.48816,4020.61522,0.78,34.845,0.85843,0.2549,0.24853,0.22143,0.38633,0.29893,0.29128,595.571,0.485,0.414,0,0,0.485,0,0
1,3319,20,500,0.08165,0.1024,3,3,2.9,3,2,2,54,1.5,1.44,0.0201258,1.2023,0.45751,84.55813,0.1884,0.06145,15.00242,7.27355,4059.83503,0.94,38.08,0.86201,0.2549,0.24853,0.22143,0.39032,0.30158,0.29313,638.646,0.537,0.464,0,0,0.537,0,0
1,3749,20,500,0.08165,0.1024,3,3,2.9,3,2,2,54,1.5,1.44,0.0201258,0.6478,0.44077,67.62446,0.1564,0.09458,15.31657,3.8952,1876.39026,0.34,17.86,0.99826,0.2549,0.24853,0.22143,0.39381,0.30452,0.2972,644.163,0.544,0.478,0,0,0.544,0,0
1,4199,20,500,0.08165,0.1024,3,3,2.9,3,2,2,54,1.5,1.44,0.0201258,1.1607,0.29655,67.41968,0.23175,0.05829,12.40885,6.28079,3898.87191,1.64,33.48,0.54658,0.2549,0.24853,0.22143,0.34047,0.2765,0.27305,383.016,0.262,0.233,0,0,0.262,0,0
