Sample no,RSN,fc_MPa,fy_MPa,Beam_Area_m2,Col_Area_m2,Bay_Width_X_m,Bay_Width_Y_m,Bay_Width_Z_m,No_of_bay_X,No_of_bay_Y,No_of_bay_Z,Plinth_Area_m2,Aspect Ratio,Reinforcement Ratio,T mean (sec),Max Aceleration (g),Max Velocity (cm/sec),Vmax/Amax (sec),Acceleration RMS (g),Velocity RMS (cm/sec),Arias Intensity,Cum. Abs. Velocity (cm/sec),Predominant Period (sec),Significant Duration (sec),Sa_T1 (g),Initial_T1 (s),Initial_T2 (s),Initial_T3 (s),Final_T1 (s),Final_T2 (s),Final_T3 (s),max_base_shear_kN,MIDR_1st_floor,MIDR_2nd_floor,MIDR_3rd_floor,MIDR_4th_floor,MIDR_all_floor,Max_Park_Ang_DI_storey,Park_Ang_DI
1,496,20.0,500.0,0.08875,0.1225,3.0,3.0,2.9,3,3,2,81.0,1.0,0.0180545,0.5113,0.54052,34.53304,0.06513,0.09349,8.53915,1.34355,635.35772,0.04,5.5425,0.83013,0.24282,0.24282,0.21219,0.34978,0.27316,0.26296,769.969,0.357,0.345,0.0,0.0,0.357,0.0,0.0
4,496,20.0,500.0,0.08875,0.1225,3.0,3.0,3.1,3,3,2,81.0,1.0,0.0180545,0.5113,0.54052,34.53304,0.06513,0.09349,8.53915,1.34355,635.35772,0.04,5.5425,0.89549,0.26476,0.26476,0.23134,0.38228,0.29588,0.28577,798.32,0.439,0.421,0.0,0.0,0.439,0.0,0.0
0,998,20.0,500.0,0.08875,0.1225,3.0,3.0,2.9,2,2,2,36.0,1.0,0.0180545,0.5345,0.39747,45.61678,0.11699,0.07765,8.98781,2.78549,1418.06102,0.24,11.33,0.95192,0.22541,0.22541,0.19873,0.33995,0.25308,0.25033,418.725,0.361,0.369,0.0,0.0,0.369,0.0,0.0
3,998,20.0,500.0,0.08875,0.1225,3.0,3.0,3.1,2,2,2,36.0,1.0,0.0180545,0.5345,0.39747,45.61678,0.11699,0.07765,8.98781,2.78549,1418.06102,0.24,11.33,1.0031,0.24566,0.24566,0.21654,0.37399,0.27675,0.27415,407.436,0.402,0.41,0.0,0.0,0.41,0.0,0.0
0,1045,20.0,500.0,0.08875,0.1225,3.0,3.0,2.9,2,2,2,36.0,1.0,0.0180545,1.0312,0.67999,62.38249,0.09352,0.07601,17.70292,2.22366,1180.35554,0.2,11.93,0.91893,0.22541,0.22541,0.19873,0.33558,0.25207,0.24844,381.311,0.302,0.314,0.0,0.0,0.314,0.0,0.0
3,1045,20.0,500.0,0.08875,0.1225,3.0,3.0,3.1,2,2,2,36.0,1.0,0.0180545,1.0312,0.67999,62.38249,0.09352,0.07601,17.70292,2.22366,1180.35554,0.2,11.93,0.83326,0.24566,0.24566,0.21654,0.37399,0.27738,0.27426,384.132,0.369,0.393,0.0,0.0,0.393,0.0,0.0
1,949,20.0,500.0,0.08875,0.1225,3.0,3.0,2.9,3,3,2,81.0,1.0,0.0180545,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,0.92111,0.24282,0.24282,0.21219,0.39896,0.28429,0.28211,944.85,0.492,0.486,0.0,0.0,0.492,0.0,0.0
4,949,20.0,500.0,0.08875,0.1225,3.0,3.0,3.1,3,3,2,81.0,1.0,0.0180545,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,0.83046,0.26476,0.26476,0.23134,0.43832,0.31116,0.30884,890.673,0.521,0.507,0.0,0.0,0.521,0.0,0.0
3,3285,20.0,500.0,0.08875,0.1225,3.0,3.0,3.1,2,2,2,36.0,1.0,0.0180545,1.0634,0.55373,69.09332,0.12719,0.07868,17.22096,8.48816,4020.61522,0.78,34.845,0.88135,0.24566,0.24566,0.21654,0.38336,0.27969,0.27832,401.243,0.392,0.396,0.0,0.0,0.396,0.0,0.0
2,334,20.0,500.0,0.08875,0.1225,3.0,3.0,2.9,5,5,2,225.0,1.0,0.0180545,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.57487,0.25948,0.25948,0.23168,0.39476,0.29849,0.29688,1692.882,0.335,0.321,0.0,0.0,0.335,0.0,0.0
