PGA (g),PoE(IO),PoE(LS),PoE(CP)
0.8688688688688688,0.9999998877460129,0.9336101138575766,0.4103864278132701
0.8708708708708709,0.9999998948921819,0.9347841753537521,0.41310587053374603
0.8728728728728729,0.999999901582848,0.9359394227513206,0.4158232304061986
0.8748748748748749,0.9999999078470552,0.9370761045801753,0.41853838195408105
0.8768768768768769,0.9999999137119969,0.9381944675445644,0.42125120089156376
0.8788788788788788,0.9999999192031339,0.939294756492362,0.42396156413023933
0.8808808808808809,0.9999999243443037,0.9403772143860671,0.42666934978546067
0.8828828828828829,0.999999929157825,0.9414420822754865,0.42937443718232027
0.8848848848848849,0.9999999336645933,0.9424895992720647,0.4320767068612755
0.8868868868868869,0.9999999378841721,0.9435200025248152,0.43477604058342206
0.8888888888888888,0.9999999418348774,0.9445335271978175,0.43747232133542413
0.8908908908908909,0.9999999455338574,0.945530406449236,0.44016543333410263
0.8928928928928929,0.9999999489971665,0.9465108714118247,0.4428552620306881
0.8948948948948949,0.9999999522398353,0.9474751511748756,0.44554169411474426
0.8968968968968969,0.9999999552759357,0.9484234727675755,0.4482246175177635
0.8988988988988988,0.999999958118642,0.9493560611437307,0.45090392141644375
0.9009009009009009,0.999999960780288,0.950273139167823,0.45357949623564775
0.9029029029029029,0.9999999632724208,0.9511749276023599,0.45625123365105136
0.9049049049049049,0.9999999656058508,0.9520616450964834,0.45891902659148687
0.9069069069069069,0.9999999677906984,0.9529335081757996,0.46158276924098307
0.9089089089089089,0.9999999698364388,0.9537907312333953,0.4642423570405111
0.9109109109109109,0.9999999717519421,0.9546335265220057,0.4668976866894369
0.9129129129129129,0.9999999735455128,0.9554621041472995,0.46954865614668756
0.914914914914915,0.9999999752249252,0.956276672062247,0.4721951646316374
0.9169169169169169,0.9999999767974579,0.9570774360625378,0.4748371126247145
0.9189189189189189,0.9999999782699245,0.9578645997830173,0.4774744018677378
0.9209209209209209,0.9999999796487044,0.9586383646951061,0.4801069353639859
0.9229229229229229,0.9999999809397694,0.9593989301051742,0.4827346173780028
