PGA (g),PoE(IO),PoE(LS),PoE(CP)
0.4984984984984985,0.9230049102854684,0.36901772131572397,0.12599308702146816
0.5005005005005005,0.9245166780706345,0.3711797692200115,0.1269954125418425
0.5025025025025025,0.9259998198907136,0.3733372351805464,0.12799924008762736
0.5045045045045045,0.9274548283484896,0.37549007722557687,0.12900454270243877
0.5065065065065065,0.928882189604036,0.37763825438049825,0.13001129362869523
0.5085085085085085,0.9302823833739223,0.3797817266538881,0.1310194663070522
0.5105105105105106,0.9316558829348757,0.3819204550236803,0.1320290343758147
0.5125125125125125,0.9330031551316713,0.384054401423476,0.13303997167033255
0.5145145145145145,0.934324660389041,0.3861835287289945,0.13405225222237643
0.5165165165165165,0.9356208527273906,0.3883078007446611,0.13506585025949586
0.5185185185185185,0.9368921797821261,0.3904271821903337,0.13608074020436045
0.5205205205205206,0.9381390828263996,0.39254163868816794,0.13709689667408498
0.5225225225225225,0.9393619967970817,0.3946511367496196,0.13811429447953782
0.5245245245245245,0.9405613503237901,0.3967556437625852,0.13913290862463518
0.5265265265265265,0.9417375657607931,0.3988551279786798,0.14015271430562015
0.5285285285285285,0.9428910592216273,0.4009495585006517,0.14117368691032683
0.5305305305305306,0.9440222406162656,0.40303890526993447,0.14219580201743393
0.5325325325325325,0.945131513690683,0.4051231390543342,0.14321903539570108
0.5345345345345345,0.9462192760686718,0.4072022314358544,0.1442433630031973
0.5365365365365365,0.9472859192957613,0.40927615479865354,0.1452687609865141
0.5385385385385385,0.9483318288851061,0.41134488231714006,0.14629520567996912
0.5405405405405406,0.9493573843652114,0.4134083879441994,0.1473226736047985
0.5425425425425425,0.9503629593293675,0.41546664639955605,0.1483511414683386
0.5445445445445445,0.9513489214866717,0.4175196331582679,0.14938058616319805
0.5465465465465466,0.9523156327145211,0.4195673244393528,0.15041098476642045
0.5485485485485485,0.9532634491124653,0.4216096971945462,0.15144231453863788
0.5505505505505506,0.9541927210573085,0.42364672909719125,0.15247455292321604
0.5525525525525525,0.9551037932593611,0.42567839853125633,0.15350767754539069
0.5545545545545546,0.9559970048197414,0.4277046845804845,0.15454166621139726
0.5565565565565566,0.9568726892886301,0.4297255670176692,0.15557649690759245
0.5585585585585585,0.9577311747243923,0.4317410262940591,0.15661214779956922
0.5605605605605606,0.9585727837534754,0.4337510435288888,0.15764859723126473
0.5625625625625625,0.959397833631004,0.43575560049903544,0.15868582372406254
0.5645645645645646,0.9602066363019897,0.4377546796288011,0.15972380597588892
0.5665665665665666,0.9609994984630839,0.43974826397981825,0.1607625228603033
0.5685685685685685,0.9617767216247983,0.44173633724107925,0.161801953425584
0.5705705705705706,0.9625386021741258,0.44371888371908763,0.16284207689380886
0.5725725725725725,0.9632854314374967,0.44569588832813045,0.1638828726599309
0.5745745745745746,0.9640174957440071,0.4476673365806721,0.16492432029085102
0.5765765765765766,0.9647350764888611,0.44963321457786565,0.16596639952448516
0.5785785785785785,0.965438450196969,0.4515935090001848,0.16700909026882915
0.5805805805805806,0.9661278885866482,0.45354820709817156,0.16805237260101985
0.5825825825825826,0.9668036586333777,0.4554972966833008,0.16909622676639208
0.5845845845845846,0.9674660226335539,0.4574407661189607,0.17014063317753503
0.5865865865865866,0.9681152382682056,0.4593786043115471,0.17118557241334387
0.5885885885885885,0.9687515586666227,0.46131080070167163,0.17223102521807054
