PGA (g),PoE(IO),PoE(LS),PoE(CP)
0.3263263263263263,0.9170812088589297,0.536326996267311,0.1908697534506501
0.3283283283283283,0.9192717069188355,0.5419603643297323,0.19398398328511962
0.3303303303303303,0.9214053051565705,0.5475511491972284,0.19710976777836703
0.33233233233233234,0.9234833835425622,0.553098827741897,0.20024667873508645
0.33433433433433435,0.9255072949715636,0.5586029106037093,0.20339429119733293
0.3363363363363363,0.9274783653988777,0.5640629413796331,0.20655218355370403
0.3383383383383383,0.9293978940045345,0.5694784958134772,0.2097199376428403
0.34034034034034033,0.9312671533831389,0.574849180987552,0.21289713885138933
0.34234234234234234,0.9330873897572309,0.5801746345171666,0.21608337620657786
0.34434434434434436,0.9348598232121234,0.5854545237489197,0.2192782424635344
0.34634634634634637,0.9365856479502959,0.5906885449636698,0.22248133418750343
0.3483483483483483,0.9382660325635332,0.5958764225850159,0.22569225183109176
0.35035035035035034,0.9399021203211039,0.601017908394053,0.22891059980668566
0.35235235235235235,0.9414950294723717,0.6061127807511137,0.23213598655417517
0.35435435435435436,0.9430458535623336,0.6111608438251499,0.23536802460412193
0.3563563563563564,0.9445556617586632,0.6161619268313581,0.2386063306365025
0.35835835835835833,0.9460254991889306,0.6211158832776018,0.24185052553516084
0.36036036036036034,0.9474563872867501,0.6260225902201354,0.2451002344380983
0.36236236236236236,0.948849324145685,0.6308819475290879,0.2483550867837283
0.36436436436436437,0.9502052848798178,0.6356938771641272,0.2516147163532234
0.3663663663663664,0.9515252219899587,0.6404583224606772,0.25487876130907705
0.3683683683683684,0.9528100657345399,0.6451752474270258,0.25814686423000077
0.37037037037037035,0.9540607245043021,0.6498446360526235,0.26141867214227793
0.37237237237237236,0.9552780851999435,0.6544664916278375,0.2646938365476902
0.3743743743743744,0.9564630136119562,0.659040836075392,0.2679720134481304
0.3763763763763764,0.9576163548019327,0.6635677092936967,0.27125286336701704
0.3783783783783784,0.9587389334846763,0.6680471685122323,0.2745360513676187
0.38038038038038036,0.9598315544104935,0.672479287659136,0.2778212470683967
0.38238238238238237,0.960895002747101,0.6768641567411045,0.2811081246554734
0.3843843843843844,0.961930044460615,0.6812018812357036,0.2843963628923271
0.3863863863863864,0.9629374266951373,0.6854925814961542,0.2876856451268173
0.3883883883883884,0.96391787815049,0.689736392168641,0.2909756592956379
0.39039039039039036,0.9648721094576864,0.6939334616221677,0.294266097926296
0.3923923923923924,0.9658008135517607,0.6980839513909669,0.29755665813670934
0.3943943943943944,0.9667046660416128,0.7021880356294516,0.3008470416325162
0.3963963963963964,0.9675843255765529,0.7062459005796812,0.3041369547021871
0.3983983983983984,0.9684404342092621,0.7102577440512963,0.3074261082100266
0.40040040040040037,0.969273617754909,0.7142237749138649,0.3107142175871496
0.4024024024024024,0.9700844861461908,0.7181442126015685,0.3140010028205176
0.4044044044044044,0.9708736337840904,0.7220192866301383,0.31728618844011414
0.4064064064064064,0.9716416398841602,0.7258492361259545,0.32056950350434055
0.4084084084084084,0.9723890688181706,0.7296343093671922,0.3238506815837081
0.41041041041041043,0.9731164704509738,0.733374763336903,0.3271294607429017
0.4124124124124124,0.9738243804724585,0.7370708632879038,0.33040558352128857
0.4144144144144144,0.97451332072448,0.7407228823193414,0.33367879691194285
0.4164164164164164,0.9751837995226782,0.7443311009647876,0.33694885233925476
0.4184184184184184,0.9758363119730961,0.7478958067917205,0.3402155056351921
0.42042042042042044,0.9764713402835387,0.7514172940122349,0.34347851701427984
0.4224224224224224,0.9770893540696175,0.754895863104823,0.3467376510473586
0.4244244244244244,0.977690810655439,0.7583318204470607,0.3499926766341872
0.4264264264264264,0.9782761553689082,0.7617254779590299,0.35324336697494596
0.42842842842842843,0.9788458218316298,0.765077152757304,0.3564894995407
0.43043043043043044,0.9794002322433927,0.7683871668193206,0.359730856042879
